Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (42312461),Nikola Jokic,42312461,CPT,20100,PHI@DEN 03/17/2026 10:00PM ET,DEN,65.60
PG,Tyrese Maxey (42312492),Tyrese Maxey,42312492,CPT,16500,PHI@DEN 03/17/2026 10:00PM ET,PHI,49.06
C,Joel Embiid (42312462),Joel Embiid,42312462,CPT,15600,PHI@DEN 03/17/2026 10:00PM ET,PHI,44.95
PG,Jamal Murray (42312463),Jamal Murray,42312463,CPT,14100,PHI@DEN 03/17/2026 10:00PM ET,DEN,43.87
SG,VJ Edgecombe (42312464),VJ Edgecombe,42312464,CPT,13500,PHI@DEN 03/17/2026 10:00PM ET,PHI,32.40
C,Nikola Jokic (42312425),Nikola Jokic,42312425,UTIL,13400,PHI@DEN 03/17/2026 10:00PM ET,DEN,65.60
PG/SG,Quentin Grimes (42312465),Quentin Grimes,42312465,CPT,12900,PHI@DEN 03/17/2026 10:00PM ET,PHI,25.84
SG/SF,Kelly Oubre Jr. (42312493),Kelly Oubre Jr.,42312493,CPT,12000,PHI@DEN 03/17/2026 10:00PM ET,PHI,27.38
SF/PF,Peyton Watson (42312494),Peyton Watson,42312494,CPT,11700,PHI@DEN 03/17/2026 10:00PM ET,DEN,28.34
PF/C,Aaron Gordon (42312466),Aaron Gordon,42312466,CPT,11100,PHI@DEN 03/17/2026 10:00PM ET,DEN,30.70
PG,Tyrese Maxey (42312456),Tyrese Maxey,42312456,UTIL,11000,PHI@DEN 03/17/2026 10:00PM ET,PHI,49.06
C,Joel Embiid (42312426),Joel Embiid,42312426,UTIL,10400,PHI@DEN 03/17/2026 10:00PM ET,PHI,44.95
PG/SG,Cameron Payne (42312467),Cameron Payne,42312467,CPT,9900,PHI@DEN 03/17/2026 10:00PM ET,PHI,17.54
SF/PF,Cameron Johnson (42312468),Cameron Johnson,42312468,CPT,9600,PHI@DEN 03/17/2026 10:00PM ET,DEN,22.24
PG,Jamal Murray (42312427),Jamal Murray,42312427,UTIL,9400,PHI@DEN 03/17/2026 10:00PM ET,DEN,43.87
SG,Christian Braun (42312469),Christian Braun,42312469,CPT,9300,PHI@DEN 03/17/2026 10:00PM ET,DEN,23.12
SG,VJ Edgecombe (42312428),VJ Edgecombe,42312428,UTIL,9000,PHI@DEN 03/17/2026 10:00PM ET,PHI,32.40
PG/SG,Quentin Grimes (42312429),Quentin Grimes,42312429,UTIL,8600,PHI@DEN 03/17/2026 10:00PM ET,PHI,25.84
SG/SF,Kelly Oubre Jr. (42312457),Kelly Oubre Jr.,42312457,UTIL,8000,PHI@DEN 03/17/2026 10:00PM ET,PHI,27.38
SF/PF,Peyton Watson (42312458),Peyton Watson,42312458,UTIL,7800,PHI@DEN 03/17/2026 10:00PM ET,DEN,28.34
C,Andre Drummond (42312470),Andre Drummond,42312470,CPT,7800,PHI@DEN 03/17/2026 10:00PM ET,PHI,21.72
SF,Justin Edwards (42312471),Justin Edwards,42312471,CPT,7500,PHI@DEN 03/17/2026 10:00PM ET,PHI,11.75
PF/C,Aaron Gordon (42312430),Aaron Gordon,42312430,UTIL,7400,PHI@DEN 03/17/2026 10:00PM ET,DEN,30.70
SG/SF,Tim Hardaway Jr. (42312472),Tim Hardaway Jr.,42312472,CPT,7200,PHI@DEN 03/17/2026 10:00PM ET,DEN,21.49
PG/SG,Cameron Payne (42312431),Cameron Payne,42312431,UTIL,6600,PHI@DEN 03/17/2026 10:00PM ET,PHI,17.54
PF,Trendon Watford (42312473),Trendon Watford,42312473,CPT,6600,PHI@DEN 03/17/2026 10:00PM ET,PHI,15.37
SF/PF,Cameron Johnson (42312432),Cameron Johnson,42312432,UTIL,6400,PHI@DEN 03/17/2026 10:00PM ET,DEN,22.24
PG/SG,Bruce Brown (42312474),Bruce Brown,42312474,CPT,6300,PHI@DEN 03/17/2026 10:00PM ET,DEN,18.01
SG,Christian Braun (42312433),Christian Braun,42312433,UTIL,6200,PHI@DEN 03/17/2026 10:00PM ET,DEN,23.12
PF/C,Dominick Barlow (42312475),Dominick Barlow,42312475,CPT,6000,PHI@DEN 03/17/2026 10:00PM ET,PHI,18.88
PF,Spencer Jones (42312476),Spencer Jones,42312476,CPT,5400,PHI@DEN 03/17/2026 10:00PM ET,DEN,13.98
C,Andre Drummond (42312434),Andre Drummond,42312434,UTIL,5200,PHI@DEN 03/17/2026 10:00PM ET,PHI,21.72
SF,Justin Edwards (42312435),Justin Edwards,42312435,UTIL,5000,PHI@DEN 03/17/2026 10:00PM ET,PHI,11.75
SG/SF,Tim Hardaway Jr. (42312436),Tim Hardaway Jr.,42312436,UTIL,4800,PHI@DEN 03/17/2026 10:00PM ET,DEN,21.49
C,Adem Bona (42312477),Adem Bona,42312477,CPT,4800,PHI@DEN 03/17/2026 10:00PM ET,PHI,13.60
SF/PF,Jabari Walker (42312478),Jabari Walker,42312478,CPT,4500,PHI@DEN 03/17/2026 10:00PM ET,PHI,10.52
PF,Trendon Watford (42312437),Trendon Watford,42312437,UTIL,4400,PHI@DEN 03/17/2026 10:00PM ET,PHI,15.37
PG/SG,Bruce Brown (42312438),Bruce Brown,42312438,UTIL,4200,PHI@DEN 03/17/2026 10:00PM ET,DEN,18.01
SF,Dalen Terry (42312479),Dalen Terry,42312479,CPT,4200,PHI@DEN 03/17/2026 10:00PM ET,PHI,10.02
PF/C,Dominick Barlow (42312439),Dominick Barlow,42312439,UTIL,4000,PHI@DEN 03/17/2026 10:00PM ET,PHI,18.88
PF,Spencer Jones (42312440),Spencer Jones,42312440,UTIL,3600,PHI@DEN 03/17/2026 10:00PM ET,DEN,13.98
SG/SF,Marjon Beauchamp (42312480),Marjon Beauchamp,42312480,CPT,3600,PHI@DEN 03/17/2026 10:00PM ET,PHI,16.75
C,Adem Bona (42312441),Adem Bona,42312441,UTIL,3200,PHI@DEN 03/17/2026 10:00PM ET,PHI,13.60
SF/PF,Jabari Walker (42312442),Jabari Walker,42312442,UTIL,3000,PHI@DEN 03/17/2026 10:00PM ET,PHI,10.52
C,Jonas Valanciunas (42312481),Jonas Valanciunas,42312481,CPT,3000,PHI@DEN 03/17/2026 10:00PM ET,DEN,17.36
SF,Dalen Terry (42312443),Dalen Terry,42312443,UTIL,2800,PHI@DEN 03/17/2026 10:00PM ET,PHI,10.02
SG/SF,Marjon Beauchamp (42312444),Marjon Beauchamp,42312444,UTIL,2400,PHI@DEN 03/17/2026 10:00PM ET,PHI,16.75
SG/SF,Julian Strawther (42312482),Julian Strawther,42312482,CPT,2400,PHI@DEN 03/17/2026 10:00PM ET,DEN,12.35
C,Jonas Valanciunas (42312445),Jonas Valanciunas,42312445,UTIL,2000,PHI@DEN 03/17/2026 10:00PM ET,DEN,17.36
SG/SF,Julian Strawther (42312446),Julian Strawther,42312446,UTIL,1600,PHI@DEN 03/17/2026 10:00PM ET,DEN,12.35
C,DaRon Holmes II (42312483),DaRon Holmes II,42312483,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,DEN,8.22
PG/SG,Curtis Jones (42312484),Curtis Jones,42312484,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,DEN,3.29
PF,David Roddy (42312485),David Roddy,42312485,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,DEN,6
C,Zeke Nnaji (42312486),Zeke Nnaji,42312486,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,DEN,9.54
PG/SG,Jalen Pickett (42312487),Jalen Pickett,42312487,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,DEN,12.91
PG/SG,Tyrese Martin (42312488),Tyrese Martin,42312488,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,PHI,14.03
PG,KJ Simpson (42312489),KJ Simpson,42312489,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,DEN,13.18
PG,Kyle Lowry (42312490),Kyle Lowry,42312490,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,PHI,4.15
PG,Tyus Jones (42312491),Tyus Jones,42312491,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,DEN,9.47
SF,Paul George (42312495),Paul George,42312495,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,PHI,32.34
C,Johni Broome (42312496),Johni Broome,42312496,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,PHI,4.04
C,DaRon Holmes II (42312447),DaRon Holmes II,42312447,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,DEN,8.22
PG/SG,Curtis Jones (42312448),Curtis Jones,42312448,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,DEN,3.29
PF,David Roddy (42312449),David Roddy,42312449,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,DEN,6
C,Zeke Nnaji (42312450),Zeke Nnaji,42312450,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,DEN,9.54
PG/SG,Jalen Pickett (42312451),Jalen Pickett,42312451,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,DEN,12.91
PG/SG,Tyrese Martin (42312452),Tyrese Martin,42312452,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,PHI,14.03
PG,KJ Simpson (42312453),KJ Simpson,42312453,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,DEN,13.18
PG,Kyle Lowry (42312454),Kyle Lowry,42312454,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,PHI,4.15
PG,Tyus Jones (42312455),Tyus Jones,42312455,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,DEN,9.47
SF,Paul George (42312459),Paul George,42312459,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,PHI,32.34
C,Johni Broome (42312460),Johni Broome,42312460,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,PHI,4.04